"symbol","search","holding","purchasePrice","purchaseDate","purchaseDateFxRate","commission","portfolioName","industry","sector"
"MUL.L","mulberry","868","9.20","2015-06-05","1","12.50","ISA-A","Personal Goods","Consumer Goods"
"SBRY.L","sainsburys","2991","2.49","2015-06-05","1","50.52","ISA-A","Food & Drug Retailers","Consumer Services"
"ULVR.L","unilever","440","25.99","2013-06-20","1","75.25","ISA-A","Personal Goods","Consumer Goods"
"DTG.L","dart group","1873","4.1293","2013-06-12","1","12.50","ISA-A","Travel & Leisure","Consumer Services"
"SHAW.L","shawbrook","2075","3.7091","2013-06-12","1","50.98","ISA-A","Banks","Financials"
"ASC.L","asos","234","38.30","2015-06-05","1","13.09","ISA-H","General Retailers","Consumer Services"
"BVS.L","bovis","631","11.00","2015-06-05","1","48.98","ISA-H","Household Goods","Consumer Goods"
"BT-A.L","bt","2156","3.68","2013-12-13","1","65.84","ISA-H","Fixed Line Telecommunications","Telecommunications"
"FGP.L","firstgroup","2750","1.834","2011-05-05","1","34.15","ISA-H","Travel & Leisure","Consumer Services"
"PRU.L","prudential","390","12.69","2013-12-13","1","42.12","ISA-H","Life Insurance","Financials"
"RMV.L","rightmove","152","32.47","2015-06-05","1","38.32","ISA-H","Media","Consumer Services"
"RSA.L","rsa","500","6.80","2011-05-05","1","53.51","ISA-H","Nonlife Insurance","Financials"
"SSE.L","sse","825","12.27","2011-03-22","1","73.25","ISA-H","Electricity","Utilities"
"GSK.L","glaxo","645","13.8632","2015-06-11","1","57.21","ISA-H","Pharmaceuticals & Biotechnology","Health Care"
"NG.L","national grid","1886","7.90","2013-05-24","1","97.85","Tr-H","Gas, Water & Multi-utilities","Utilities"
"SSE.L","sse","958","15.54","2013-05-31","1","98.86","Tr-H","Electricity","Utilities"
"ULVR.L","unilever","580","25.92","2013-06-20","1","95.98","Tr-H","Personal Goods","Consumer Goods"
"GSK.L","glaxo","286","13.8632","2015-06-11","1","32.32","Tr-H","Pharmaceuticals & Biotechnology","Health Care"
"CLLN.L","carillion","2686","3.3282","2015-06-11","1","57.20","Tr-H","Support Services","Industrials"
"AV.L","aviva","750","2.824","2012-05-17","1","0","H&K","Life Insurance","Financials"
"HSBA.L","hsbc","1820","5.477","2012-05-17","1","0","H&K","Banks","Financials"
"LRD.L","laird","4666","1.872","2012-05-17","1","0","H&K","Technology Hardware & Equipment","Technology"
"RDSB.L","shell","290","20.755","2012-05-17","1","0","H&K","Oil & Gas Producers","Oil & Gas"
"ZURN.VX","zurich insurance","180","246.9","2012-05-17","1.4325","0","H&K","Nonlife Insurance","Financials"
"SCMN.VX","swisscom","115","337.34","2012-05-17","1.4325","0","H&K","Fixed Line Telecommunications","Telecommunications"
"WOW.AX","woolworths","1250","27.91","2012-05-17","1.648","0","H&K","Food & Drug Retailers","Consumer Services"
"FP.PA","total sa","800","31.76","2012-05-17","1.16","0","H&K","Oil & Gas Producers","Oil & Gas"
"STAC.L","standard chartered","19500","1.18","2012-05-17","1","0","H&K","Banks","Financials"
"SCP.AX","shopcenaus","250","0","2012-05-17","1.648","0","H&K","Not known","Not known"
"ACI","arch coal","75","0","2012-05-17","1","0","H&K","Mining","Basic Materials"
"CNA.L","Centrica","7576","2.61","2015-06-16","1","124.78","Tr-A","Gas, Water & Multi-utilities","Utilities"
"BP.L","BP","4622","4.30","2015-06-16","1","123.79","Tr-A","Oil & Gas Producers","Oil & Gas"
"GSK.L","glaxo","1311","13.64325","2015-06-17","1","101.93","Tr-A","Pharmaceuticals & Biotechnology","Health Care"
"BBY.L","balfour beatty","6997","2.41556","2015-06-18","1","97.01","Tr-A","Construction & Materials","Industrials"
"GNK.L","greene king","2419","8.2182","2015-06-19","1","112.9","Tr-A","Travel & Leisure","Consumer Services"
"BNZL.L","bunzl","1069","18.588927","2015-06-23","1","111.86","Tr-A","Support Services","Industrials"
"AV.L","aviva","3473","5.1525","2015-06-24","1","102.97","Tr-A","Life Insurance","Financials"
"RB.L","reckitt","348","57.0175","2015-06-25","1","112.71","Tr-A","Household Goods","Consumer Goods"
"RDSB.L","shell","1157","18.906","2015-06-26","1","122.87","Tr-A","Oil & Gas Producers","Oil & Gas"
"BATS.L","british american tobacco","433","34.38825","2015-06-30","1","87.95","Tr-A","Tobacco","Consumer Goods"
"GKN.L","gkn","6585","3.02","2015-07-22","1","111.93","Tr-A","Automobiles & Parts","Consumer Goods"
"SL.L","standard life","1186","0","01-01-2012","1","0","None","Banks","Financials"
"BLT.L","bhp billiton","1755","11.3314","27-07-2015","1","111.93","Tr-A","Mining","Basic Materials"
"BP.L","BP","5360","3.70971","19-08-2015","1","112.92","Tr-A","Oil & Gas Producers","Oil & Gas"
